,id,title,description,is_premium,difficulty,solution_link,acceptance_rate,frequency,url,discuss_count,accepted,submissions,companies,related_topics,likes,dislikes,rating,asked_by_faang,similar_questions,c++_code_snippet,java_code_snippet,python_code_snippet,python3_code_snippet,c_code_snippet,c#_code_snippet,javascript_code_snippet,ruby_code_snippet,swift_code_snippet,go_code_snippet,scala_code_snippet,kotlin_code_snippet,rust_code_snippet,php_code_snippet,typescript_code_snippet,racket_code_snippet,erlang_code_snippet,elixir_code_snippet,dart_code_snippet,mysql_code_snippet,ms sql server_code_snippet,oracle_code_snippet,title_slug
262,1601,Maximum Number of Achievable Transfer Requests,"We have `n` buildings numbered from `0` to `n - 1`. Each building has a number of employees. It's transfer season, and some employees want to change the building they reside in.
You are given an array `requests` where `requests[i] = [fromi, toi]` represents an employee's request to transfer from building `fromi` to building `toi`.
All buildings are full, so a list of requests is achievable only if for each building, the net change in employee transfers is zero. This means the number of employees leaving is equal to the number of employees moving in. For example if `n = 3` and two employees are leaving building `0`, one is leaving building `1`, and one is leaving building `2`, there should be two employees moving to building `0`, one employee moving to building `1`, and one employee moving to building `2`.
Return the maximum number of achievable requests.",0,Hard,,47.8,0.0,https://leetcode.com/problems/maximum-number-of-achievable-transfer-requests,82,5.6K,11.8K,Amazon,Dynamic Programming,172,21,89,1,,"class Solution {
public:
    int maximumRequests(int n, vector<vector<int>>& requests) {
        
    }
};","class Solution {
    public int maximumRequests(int n, int[][] requests) {
        
    }
}","class Solution(object):
    def maximumRequests(self, n, requests):
        """"""
        :type n: int
        :type requests: List[List[int]]
        :rtype: int
        """"""
        ","class Solution:
    def maximumRequests(self, n: int, requests: List[List[int]]) -> int:
        ","int maximumRequests(int n, int** requests, int requestsSize, int* requestsColSize){

}","public class Solution {
    public int MaximumRequests(int n, int[][] requests) {
        
    }
}","/**
 * @param {number} n
 * @param {number[][]} requests
 * @return {number}
 */
var maximumRequests = function(n, requests) {
    
};","# @param {Integer} n
# @param {Integer[][]} requests
# @return {Integer}
def maximum_requests(n, requests)
    
end","class Solution {
    func maximumRequests(_ n: Int, _ requests: [[Int]]) -> Int {
        
    }
}","func maximumRequests(n int, requests [][]int) int {
    
}","object Solution {
    def maximumRequests(n: Int, requests: Array[Array[Int]]): Int = {
        
    }
}","class Solution {
    fun maximumRequests(n: Int, requests: Array<IntArray>): Int {
        
    }
}","impl Solution {
    pub fn maximum_requests(n: i32, requests: Vec<Vec<i32>>) -> i32 {
        
    }
}","class Solution {

    /**
     * @param Integer $n
     * @param Integer[][] $requests
     * @return Integer
     */
    function maximumRequests($n, $requests) {
        
    }
}","function maximumRequests(n: number, requests: number[][]): number {

};","(define/contract (maximum-requests n requests)
  (-> exact-integer? (listof (listof exact-integer?)) exact-integer?)

  )","-spec maximum_requests(N :: integer(), Requests :: [[integer()]]) -> integer().
maximum_requests(N, Requests) ->
  .","defmodule Solution do
  @spec maximum_requests(n :: integer, requests :: [[integer]]) :: integer
  def maximum_requests(n, requests) do

  end
end","class Solution {
  int maximumRequests(int n, List<List<int>> requests) {

  }
}",,,,maximum-number-of-achievable-transfer-requests
263,1606,Find Servers That Handled Most Number of Requests,"You have `k` servers numbered from `0` to `k-1` that are being used to handle multiple requests simultaneously. Each server has infinite computational capacity but cannot handle more than one request at a time. The requests are assigned to servers according to a specific algorithm:
The `ith` (0-indexed) request arrives.
If all servers are busy, the request is dropped (not handled at all).
If the `(i % k)th` server is available, assign the request to that server.
Otherwise, assign the request to the next available server (wrapping around the list of servers and starting from 0 if necessary). For example, if the `ith` server is busy, try to assign the request to the `(i+1)th` server, then the `(i+2)th` server, and so on.
You are given a strictly increasing array `arrival` of positive integers, where `arrival[i]` represents the arrival time of the `ith` request, and another array `load`, where `load[i]` represents the load of the `ith` request (the time it takes to complete). Your goal is to find the busiest server(s). A server is considered busiest if it handled the most number of requests successfully among all the servers.
Return a list containing the IDs (0-indexed) of the busiest server(s). You may return the IDs in any order.",0,Hard,,37.4,28.8,https://leetcode.com/problems/find-servers-that-handled-most-number-of-requests,72,3.9K,10.5K,Wish,Ordered Map,191,7,96,0,,"class Solution {
public:
    vector<int> busiestServers(int k, vector<int>& arrival, vector<int>& load) {
        
    }
};","class Solution {
    public List<Integer> busiestServers(int k, int[] arrival, int[] load) {
        
    }
}","class Solution(object):
    def busiestServers(self, k, arrival, load):
        """"""
        :type k: int
        :type arrival: List[int]
        :type load: List[int]
        :rtype: List[int]
        """"""
        ","class Solution:
    def busiestServers(self, k: int, arrival: List[int], load: List[int]) -> List[int]:
        ","/**
 * Note: The returned array must be malloced, assume caller calls free().
 */
int* busiestServers(int k, int* arrival, int arrivalSize, int* load, int loadSize, int* returnSize){

}","public class Solution {
    public IList<int> BusiestServers(int k, int[] arrival, int[] load) {
        
    }
}","/**
 * @param {number} k
 * @param {number[]} arrival
 * @param {number[]} load
 * @return {number[]}
 */
var busiestServers = function(k, arrival, load) {
    
};","# @param {Integer} k
# @param {Integer[]} arrival
# @param {Integer[]} load
# @return {Integer[]}
def busiest_servers(k, arrival, load)
    
end","class Solution {
    func busiestServers(_ k: Int, _ arrival: [Int], _ load: [Int]) -> [Int] {
        
    }
}","func busiestServers(k int, arrival []int, load []int) []int {
    
}","object Solution {
    def busiestServers(k: Int, arrival: Array[Int], load: Array[Int]): List[Int] = {
        
    }
}","class Solution {
    fun busiestServers(k: Int, arrival: IntArray, load: IntArray): List<Int> {
        
    }
}","impl Solution {
    pub fn busiest_servers(k: i32, arrival: Vec<i32>, load: Vec<i32>) -> Vec<i32> {
        
    }
}","class Solution {

    /**
     * @param Integer $k
     * @param Integer[] $arrival
     * @param Integer[] $load
     * @return Integer[]
     */
    function busiestServers($k, $arrival, $load) {
        
    }
}","function busiestServers(k: number, arrival: number[], load: number[]): number[] {

};","(define/contract (busiest-servers k arrival load)
  (-> exact-integer? (listof exact-integer?) (listof exact-integer?) (listof exact-integer?))

  )","-spec busiest_servers(K :: integer(), Arrival :: [integer()], Load :: [integer()]) -> [integer()].
busiest_servers(K, Arrival, Load) ->
  .","defmodule Solution do
  @spec busiest_servers(k :: integer, arrival :: [integer], load :: [integer]) :: [integer]
  def busiest_servers(k, arrival, load) do

  end
end","class Solution {
  List<int> busiestServers(int k, List<int> arrival, List<int> load) {

  }
}",,,,find-servers-that-handled-most-number-of-requests
264,1610,Maximum Number of Visible Points,"You are given an array `points`, an integer `angle`, and your `location`, where `location = [posx, posy]` and `points[i] = [xi, yi]` both denote integral coordinates on the X-Y plane.
Initially, you are facing directly east from your position. You cannot move from your position, but you can rotate. In other words, `posx` and `posy` cannot be changed. Your field of view in degrees is represented by `angle`, determining how wide you can see from any given view direction. Let `d` be the amount in degrees that you rotate counterclockwise. Then, your field of view is the inclusive range of angles `[d - angle/2, d + angle/2]`.
Your browser does not support the video tag or this video format.
You can see some set of points if, for each point, the angle formed by the point, your position, and the immediate east direction from your position is in your field of view.
There can be multiple points at one coordinate. There may be points at your location, and you can always see these points regardless of your rotation. Points do not obstruct your vision to other points.
Return the maximum number of points you can see.",0,Hard,,30.4,37.6,https://leetcode.com/problems/maximum-number-of-visible-points,78,7.4K,24.4K,"Google,Amazon","Two Pointers,Geometry",148,223,40,1,,"class Solution {
public:
    int visiblePoints(vector<vector<int>>& points, int angle, vector<int>& location) {
        
    }
};","class Solution {
    public int visiblePoints(List<List<Integer>> points, int angle, List<Integer> location) {
        
    }
}","class Solution(object):
    def visiblePoints(self, points, angle, location):
        """"""
        :type points: List[List[int]]
        :type angle: int
        :type location: List[int]
        :rtype: int
        """"""
        ","class Solution:
    def visiblePoints(self, points: List[List[int]], angle: int, location: List[int]) -> int:
        ","int visiblePoints(int** points, int pointsSize, int* pointsColSize, int angle, int* location, int locationSize){

}","public class Solution {
    public int VisiblePoints(IList<IList<int>> points, int angle, IList<int> location) {
        
    }
}","/**
 * @param {number[][]} points
 * @param {number} angle
 * @param {number[]} location
 * @return {number}
 */
var visiblePoints = function(points, angle, location) {
    
};","# @param {Integer[][]} points
# @param {Integer} angle
# @param {Integer[]} location
# @return {Integer}
def visible_points(points, angle, location)
    
end","class Solution {
    func visiblePoints(_ points: [[Int]], _ angle: Int, _ location: [Int]) -> Int {
        
    }
}","func visiblePoints(points [][]int, angle int, location []int) int {
    
}","object Solution {
    def visiblePoints(points: List[List[Int]], angle: Int, location: List[Int]): Int = {
        
    }
}","class Solution {
    fun visiblePoints(points: List<List<Int>>, angle: Int, location: List<Int>): Int {
        
    }
}","impl Solution {
    pub fn visible_points(points: Vec<Vec<i32>>, angle: i32, location: Vec<i32>) -> i32 {
        
    }
}","class Solution {

    /**
     * @param Integer[][] $points
     * @param Integer $angle
     * @param Integer[] $location
     * @return Integer
     */
    function visiblePoints($points, $angle, $location) {
        
    }
}","function visiblePoints(points: number[][], angle: number, location: number[]): number {

};","(define/contract (visible-points points angle location)
  (-> (listof (listof exact-integer?)) exact-integer? (listof exact-integer?) exact-integer?)

  )","-spec visible_points(Points :: [[integer()]], Angle :: integer(), Location :: [integer()]) -> integer().
visible_points(Points, Angle, Location) ->
  .","defmodule Solution do
  @spec visible_points(points :: [[integer]], angle :: integer, location :: [integer]) :: integer
  def visible_points(points, angle, location) do

  end
end","class Solution {
  int visiblePoints(List<List<int>> points, int angle, List<int> location) {

  }
}",,,,maximum-number-of-visible-points
265,1611,Minimum One Bit Operations to Make Integers Zero,"Given an integer `n`, you must transform it into `0` using the following operations any number of times:
Change the rightmost (`0th`) bit in the binary representation of `n`.
Change the `ith` bit in the binary representation of `n` if the `(i-1)th` bit is set to `1` and the `(i-2)th` through `0th` bits are set to `0`.
Return the minimum number of operations to transform `n` into `0`.",0,Hard,,57.7,39.8,https://leetcode.com/problems/minimum-one-bit-operations-to-make-integers-zero,75,3.8K,6.6K,Expedia,"Dynamic Programming,Bit Manipulation",144,100,59,0,,"class Solution {
public:
    int minimumOneBitOperations(int n) {
        
    }
};","class Solution {
    public int minimumOneBitOperations(int n) {
        
    }
}","class Solution(object):
    def minimumOneBitOperations(self, n):
        """"""
        :type n: int
        :rtype: int
        """"""
        ","class Solution:
    def minimumOneBitOperations(self, n: int) -> int:
        ","int minimumOneBitOperations(int n){

}","public class Solution {
    public int MinimumOneBitOperations(int n) {
        
    }
}","/**
 * @param {number} n
 * @return {number}
 */
var minimumOneBitOperations = function(n) {
    
};","# @param {Integer} n
# @return {Integer}
def minimum_one_bit_operations(n)
    
end","class Solution {
    func minimumOneBitOperations(_ n: Int) -> Int {
        
    }
}","func minimumOneBitOperations(n int) int {
    
}","object Solution {
    def minimumOneBitOperations(n: Int): Int = {
        
    }
}","class Solution {
    fun minimumOneBitOperations(n: Int): Int {
        
    }
}","impl Solution {
    pub fn minimum_one_bit_operations(n: i32) -> i32 {
        
    }
}","class Solution {

    /**
     * @param Integer $n
     * @return Integer
     */
    function minimumOneBitOperations($n) {
        
    }
}","function minimumOneBitOperations(n: number): number {

};","(define/contract (minimum-one-bit-operations n)
  (-> exact-integer? exact-integer?)

  )","-spec minimum_one_bit_operations(N :: integer()) -> integer().
minimum_one_bit_operations(N) ->
  .","defmodule Solution do
  @spec minimum_one_bit_operations(n :: integer) :: integer
  def minimum_one_bit_operations(n) do

  end
end","class Solution {
  int minimumOneBitOperations(int n) {

  }
}",,,,minimum-one-bit-operations-to-make-integers-zero
266,1617,Count Subtrees With Max Distance Between Cities,"There are `n` cities numbered from `1` to `n`. You are given an array `edges` of size `n-1`, where `edges[i] = [ui, vi]` represents a bidirectional edge between cities `ui` and `vi`. There exists a unique path between each pair of cities. In other words, the cities form a tree.
A subtree is a subset of cities where every city is reachable from every other city in the subset, where the path between each pair passes through only the cities from the subset. Two subtrees are different if there is a city in one subtree that is not present in the other.
For each `d` from `1` to `n-1`, find the number of subtrees in which the maximum distance between any two cities in the subtree is equal to `d`.
Return an array of size `n-1` where the `dth` element (1-indexed) is the number of subtrees in which the maximum distance between any two cities is equal to `d`.
Notice that the distance between the two cities is the number of edges in the path between them.",0,Hard,,63.2,0.0,https://leetcode.com/problems/count-subtrees-with-max-distance-between-cities,84,4.3K,6.8K,Codenation,Backtracking,156,23,87,0,"[Tree Diameter, /problems/tree-diameter/, Medium]","class Solution {
public:
    vector<int> countSubgraphsForEachDiameter(int n, vector<vector<int>>& edges) {
        
    }
};","class Solution {
    public int[] countSubgraphsForEachDiameter(int n, int[][] edges) {
        
    }
}","class Solution(object):
    def countSubgraphsForEachDiameter(self, n, edges):
        """"""
        :type n: int
        :type edges: List[List[int]]
        :rtype: List[int]
        """"""
        ","class Solution:
    def countSubgraphsForEachDiameter(self, n: int, edges: List[List[int]]) -> List[int]:
        ","

/**
 * Note: The returned array must be malloced, assume caller calls free().
 */
int* countSubgraphsForEachDiameter(int n, int** edges, int edgesSize, int* edgesColSize, int* returnSize){

}","public class Solution {
    public int[] CountSubgraphsForEachDiameter(int n, int[][] edges) {
        
    }
}","/**
 * @param {number} n
 * @param {number[][]} edges
 * @return {number[]}
 */
var countSubgraphsForEachDiameter = function(n, edges) {
    
};","# @param {Integer} n
# @param {Integer[][]} edges
# @return {Integer[]}
def count_subgraphs_for_each_diameter(n, edges)
    
end","class Solution {
    func countSubgraphsForEachDiameter(_ n: Int, _ edges: [[Int]]) -> [Int] {
        
    }
}","func countSubgraphsForEachDiameter(n int, edges [][]int) []int {
    
}","object Solution {
    def countSubgraphsForEachDiameter(n: Int, edges: Array[Array[Int]]): Array[Int] = {
        
    }
}","class Solution {
    fun countSubgraphsForEachDiameter(n: Int, edges: Array<IntArray>): IntArray {
        
    }
}","impl Solution {
    pub fn count_subgraphs_for_each_diameter(n: i32, edges: Vec<Vec<i32>>) -> Vec<i32> {
        
    }
}","class Solution {

    /**
     * @param Integer $n
     * @param Integer[][] $edges
     * @return Integer[]
     */
    function countSubgraphsForEachDiameter($n, $edges) {
        
    }
}","function countSubgraphsForEachDiameter(n: number, edges: number[][]): number[] {

};",,,,,,,,count-subtrees-with-max-distance-between-cities
268,1627,Graph Connectivity With Threshold,"We have `n` cities labeled from `1` to `n`. Two different cities with labels `x` and `y` are directly connected by a bidirectional road if and only if `x` and `y` share a common divisor strictly greater than some `threshold`. More formally, cities with labels `x` and `y` have a road between them if there exists an integer `z` such that all of the following are true:
`x % z == 0`,
`y % z == 0`, and
`z > threshold`.
Given the two integers, `n` and `threshold`, and an array of `queries`, you must determine for each `queries[i] = [ai, bi]` if cities `ai` and `bi` are connected directly or indirectly. (i.e. there is some path between them).
Return an array `answer`, where `answer.length == queries.length` and `answer[i]` is `true` if for the `ith` query, there is a path between `ai` and `bi`, or `answer[i]` is `false` if there is no path.",0,Hard,,40.2,16.2,https://leetcode.com/problems/graph-connectivity-with-threshold,92,6.1K,15.1K,Trexquant,"Math,Union Find",163,20,89,0,,"class Solution {
public:
    vector<bool> areConnected(int n, int threshold, vector<vector<int>>& queries) {
        
    }
};","class Solution {
    public List<Boolean> areConnected(int n, int threshold, int[][] queries) {
        
    }
}","class Solution(object):
    def areConnected(self, n, threshold, queries):
        """"""
        :type n: int
        :type threshold: int
        :type queries: List[List[int]]
        :rtype: List[bool]
        """"""
        ","class Solution:
    def areConnected(self, n: int, threshold: int, queries: List[List[int]]) -> List[bool]:
        ","/**
 * Note: The returned array must be malloced, assume caller calls free().
 */
bool* areConnected(int n, int threshold, int** queries, int queriesSize, int* queriesColSize, int* returnSize){

}","public class Solution {
    public IList<bool> AreConnected(int n, int threshold, int[][] queries) {
        
    }
}","/**
 * @param {number} n
 * @param {number} threshold
 * @param {number[][]} queries
 * @return {boolean[]}
 */
var areConnected = function(n, threshold, queries) {
    
};","# @param {Integer} n
# @param {Integer} threshold
# @param {Integer[][]} queries
# @return {Boolean[]}
def are_connected(n, threshold, queries)
    
end","class Solution {
    func areConnected(_ n: Int, _ threshold: Int, _ queries: [[Int]]) -> [Bool] {
        
    }
}","func areConnected(n int, threshold int, queries [][]int) []bool {
    
}","object Solution {
    def areConnected(n: Int, threshold: Int, queries: Array[Array[Int]]): List[Boolean] = {
        
    }
}","class Solution {
    fun areConnected(n: Int, threshold: Int, queries: Array<IntArray>): List<Boolean> {
        
    }
}","impl Solution {
    pub fn are_connected(n: i32, threshold: i32, queries: Vec<Vec<i32>>) -> Vec<bool> {
        
    }
}","class Solution {

    /**
     * @param Integer $n
     * @param Integer $threshold
     * @param Integer[][] $queries
     * @return Boolean[]
     */
    function areConnected($n, $threshold, $queries) {
        
    }
}","function areConnected(n: number, threshold: number, queries: number[][]): boolean[] {

};","(define/contract (are-connected n threshold queries)
  (-> exact-integer? exact-integer? (listof (listof exact-integer?)) (listof boolean?))

  )","-spec are_connected(N :: integer(), Threshold :: integer(), Queries :: [[integer()]]) -> [boolean()].
are_connected(N, Threshold, Queries) ->
  .","defmodule Solution do
  @spec are_connected(n :: integer, threshold :: integer, queries :: [[integer]]) :: [boolean]
  def are_connected(n, threshold, queries) do

  end
end","class Solution {
  List<bool> areConnected(int n, int threshold, List<List<int>> queries) {

  }
}",,,,graph-connectivity-with-threshold
269,1632,Rank Transform of a Matrix,"Given an `m x n` `matrix`, return a new matrix `answer` where `answer[row][col]` is the rank of `matrix[row][col]`.
The rank is an integer that represents how large an element is compared to other elements. It is calculated using the following rules:
The rank is an integer starting from `1`.
If two elements `p` and `q` are in the same row or column, then:
If `p < q` then `rank(p) < rank(q)`
If `p == q` then `rank(p) == rank(q)`
If `p > q` then `rank(p) > rank(q)`
The rank should be as small as possible.
It is guaranteed that `answer` is unique under the given rules.",0,Hard,/articles/rank-transform-of-a-matrix,31.9,5.8,https://leetcode.com/problems/rank-transform-of-a-matrix,45,3.6K,11.1K,Google,"Greedy,Union Find",193,6,97,1,"[Rank Transform of an Array, /problems/rank-transform-of-an-array/, Easy]","class Solution {
public:
    vector<vector<int>> matrixRankTransform(vector<vector<int>>& matrix) {
        
    }
};","class Solution {
    public int[][] matrixRankTransform(int[][] matrix) {
        
    }
}","class Solution(object):
    def matrixRankTransform(self, matrix):
        """"""
        :type matrix: List[List[int]]
        :rtype: List[List[int]]
        """"""
        ","class Solution:
    def matrixRankTransform(self, matrix: List[List[int]]) -> List[List[int]]:
        ","/**
 * Return an array of arrays of size *returnSize.
 * The sizes of the arrays are returned as *returnColumnSizes array.
 * Note: Both returned array and *columnSizes array must be malloced, assume caller calls free().
 */
int** matrixRankTransform(int** matrix, int matrixSize, int* matrixColSize, int* returnSize, int** returnColumnSizes){

}","public class Solution {
    public int[][] MatrixRankTransform(int[][] matrix) {
        
    }
}","/**
 * @param {number[][]} matrix
 * @return {number[][]}
 */
var matrixRankTransform = function(matrix) {
    
};","# @param {Integer[][]} matrix
# @return {Integer[][]}
def matrix_rank_transform(matrix)
    
end","class Solution {
    func matrixRankTransform(_ matrix: [[Int]]) -> [[Int]] {
        
    }
}","func matrixRankTransform(matrix [][]int) [][]int {
    
}","object Solution {
    def matrixRankTransform(matrix: Array[Array[Int]]): Array[Array[Int]] = {
        
    }
}","class Solution {
    fun matrixRankTransform(matrix: Array<IntArray>): Array<IntArray> {
        
    }
}","impl Solution {
    pub fn matrix_rank_transform(matrix: Vec<Vec<i32>>) -> Vec<Vec<i32>> {
        
    }
}","class Solution {

    /**
     * @param Integer[][] $matrix
     * @return Integer[][]
     */
    function matrixRankTransform($matrix) {
        
    }
}","function matrixRankTransform(matrix: number[][]): number[][] {

};","(define/contract (matrix-rank-transform matrix)
  (-> (listof (listof exact-integer?)) (listof (listof exact-integer?)))

  )","-spec matrix_rank_transform(Matrix :: [[integer()]]) -> [[integer()]].
matrix_rank_transform(Matrix) ->
  .","defmodule Solution do
  @spec matrix_rank_transform(matrix :: [[integer]]) :: [[integer]]
  def matrix_rank_transform(matrix) do

  end
end","class Solution {
  List<List<int>> matrixRankTransform(List<List<int>> matrix) {

  }
}",,,,rank-transform-of-a-matrix
270,1639,Number of Ways to Form a Target String Given a Dictionary,"You are given a list of strings of the same length `words` and a string `target`.
Your task is to form `target` using the given `words` under the following rules:
`target` should be formed from left to right.
To form the `ith` character (0-indexed) of `target`, you can choose the `kth` character of the `jth` string in `words` if `target[i] = words[j][k]`.
Once you use the `kth` character of the `jth` string of `words`, you can no longer use the `xth` character of any string in `words` where `x <= k`. In other words, all characters to the left of or at index `k` become unusuable for every string.
Repeat the process until you form the string `target`.
Notice that you can use multiple characters from the same string in `words` provided the conditions above are met.
Return the number of ways to form `target` from `words`. Since the answer may be too large, return it modulo `109 + 7`.",0,Hard,,40.0,7.2,https://leetcode.com/problems/number-of-ways-to-form-a-target-string-given-a-dictionary,61,3.9K,9.7K,Dunzo,Dynamic Programming,129,7,95,0,,"class Solution {
public:
    int numWays(vector<string>& words, string target) {
        
    }
};","class Solution {
    public int numWays(String[] words, String target) {
        
    }
}","class Solution(object):
    def numWays(self, words, target):
        """"""
        :type words: List[str]
        :type target: str
        :rtype: int
        """"""
        ","class Solution:
    def numWays(self, words: List[str], target: str) -> int:
        ","int numWays(char ** words, int wordsSize, char * target){

}","public class Solution {
    public int NumWays(string[] words, string target) {
        
    }
}","/**
 * @param {string[]} words
 * @param {string} target
 * @return {number}
 */
var numWays = function(words, target) {
    
};","# @param {String[]} words
# @param {String} target
# @return {Integer}
def num_ways(words, target)
    
end","class Solution {
    func numWays(_ words: [String], _ target: String) -> Int {
        
    }
}","func numWays(words []string, target string) int {
    
}","object Solution {
    def numWays(words: Array[String], target: String): Int = {
        
    }
}","class Solution {
    fun numWays(words: Array<String>, target: String): Int {
        
    }
}","impl Solution {
    pub fn num_ways(words: Vec<String>, target: String) -> i32 {
        
    }
}","class Solution {

    /**
     * @param String[] $words
     * @param String $target
     * @return Integer
     */
    function numWays($words, $target) {
        
    }
}","function numWays(words: string[], target: string): number {

};","(define/contract (num-ways words target)
  (-> (listof string?) string? exact-integer?)

  )","-spec num_ways(Words :: [unicode:unicode_binary()], Target :: unicode:unicode_binary()) -> integer().
num_ways(Words, Target) ->
  .","defmodule Solution do
  @spec num_ways(words :: [String.t], target :: String.t) :: integer
  def num_ways(words, target) do

  end
end","class Solution {
  int numWays(List<String> words, String target) {

  }
}",,,,number-of-ways-to-form-a-target-string-given-a-dictionary
271,1643,Kth Smallest Instructions,"Bob is standing at cell `(0, 0)`, and he wants to reach `destination`: `(row, column)`. He can only travel right and down. You are going to help Bob by providing instructions for him to reach `destination`.
The instructions are represented as a string, where each character is either:
`'H'`, meaning move horizontally (go right), or
`'V'`, meaning move vertically (go down).
Multiple instructions will lead Bob to `destination`. For example, if `destination` is `(2, 3)`, both `""HHHVV""` and `""HVHVH""` are valid instructions.
However, Bob is very picky. Bob has a lucky number `k`, and he wants the `kth` lexicographically smallest instructions that will lead him to `destination`. `k` is 1-indexed.
Given an integer array `destination` and an integer `k`, return the `kth` lexicographically smallest instructions that will take Bob to `destination`.",0,Hard,,44.8,17.8,https://leetcode.com/problems/kth-smallest-instructions,100,4.9K,11K,HeavyWater,Dynamic Programming,193,3,98,0,,"class Solution {
public:
    string kthSmallestPath(vector<int>& destination, int k) {
        
    }
};","class Solution {
    public String kthSmallestPath(int[] destination, int k) {
        
    }
}","class Solution(object):
    def kthSmallestPath(self, destination, k):
        """"""
        :type destination: List[int]
        :type k: int
        :rtype: str
        """"""
        ","class Solution:
    def kthSmallestPath(self, destination: List[int], k: int) -> str:
        ","char * kthSmallestPath(int* destination, int destinationSize, int k){

}","public class Solution {
    public string KthSmallestPath(int[] destination, int k) {
        
    }
}","/**
 * @param {number[]} destination
 * @param {number} k
 * @return {string}
 */
var kthSmallestPath = function(destination, k) {
    
};","# @param {Integer[]} destination
# @param {Integer} k
# @return {String}
def kth_smallest_path(destination, k)
    
end","class Solution {
    func kthSmallestPath(_ destination: [Int], _ k: Int) -> String {
        
    }
}","func kthSmallestPath(destination []int, k int) string {
    
}","object Solution {
    def kthSmallestPath(destination: Array[Int], k: Int): String = {
        
    }
}","class Solution {
    fun kthSmallestPath(destination: IntArray, k: Int): String {
        
    }
}","impl Solution {
    pub fn kth_smallest_path(destination: Vec<i32>, k: i32) -> String {
        
    }
}","class Solution {

    /**
     * @param Integer[] $destination
     * @param Integer $k
     * @return String
     */
    function kthSmallestPath($destination, $k) {
        
    }
}","function kthSmallestPath(destination: number[], k: number): string {

};","(define/contract (kth-smallest-path destination k)
  (-> (listof exact-integer?) exact-integer? string?)

  )","-spec kth_smallest_path(Destination :: [integer()], K :: integer()) -> unicode:unicode_binary().
kth_smallest_path(Destination, K) ->
  .","defmodule Solution do
  @spec kth_smallest_path(destination :: [integer], k :: integer) :: String.t
  def kth_smallest_path(destination, k) do

  end
end","class Solution {
  String kthSmallestPath(List<int> destination, int k) {

  }
}",,,,kth-smallest-instructions
272,1649,Create Sorted Array through Instructions,"Given an integer array `instructions`, you are asked to create a sorted array from the elements in `instructions`. You start with an empty container `nums`. For each element from left to right in `instructions`, insert it into `nums`. The cost of each insertion is the minimum of the following:
The number of elements currently in `nums` that are strictly less than `instructions[i]`.
The number of elements currently in `nums` that are strictly greater than `instructions[i]`.
For example, if inserting element `3` into `nums = [1,2,3,5]`, the cost of insertion is `min(2, 1)` (elements `1` and `2` are less than `3`, element `5` is greater than `3`) and `nums` will become `[1,2,3,3,5]`.
Return the total cost to insert all elements from `instructions` into `nums`. Since the answer may be large, return it modulo `109 + 7`",0,Hard,/articles/create-sorted-array-through-instructions,36.5,6.3,https://leetcode.com/problems/create-sorted-array-through-instructions,134,17.1K,46.7K,Akuna Capital,"Binary Search,Binary Indexed Tree,Segment Tree,Ordered Map",341,50,87,0,,"class Solution {
public:
    int createSortedArray(vector<int>& instructions) {
        
    }
};","class Solution {
    public int createSortedArray(int[] instructions) {
        
    }
}","class Solution(object):
    def createSortedArray(self, instructions):
        """"""
        :type instructions: List[int]
        :rtype: int
        """"""
        ","class Solution:
    def createSortedArray(self, instructions: List[int]) -> int:
        ","

int createSortedArray(int* instructions, int instructionsSize){

}","public class Solution {
    public int CreateSortedArray(int[] instructions) {
        
    }
}","/**
 * @param {number[]} instructions
 * @return {number}
 */
var createSortedArray = function(instructions) {
    
};","# @param {Integer[]} instructions
# @return {Integer}
def create_sorted_array(instructions)
    
end","class Solution {
    func createSortedArray(_ instructions: [Int]) -> Int {
        
    }
}","func createSortedArray(instructions []int) int {
    
}","object Solution {
    def createSortedArray(instructions: Array[Int]): Int = {
        
    }
}","class Solution {
    fun createSortedArray(instructions: IntArray): Int {
        
    }
}","impl Solution {
    pub fn create_sorted_array(instructions: Vec<i32>) -> i32 {
        
    }
}","class Solution {

    /**
     * @param Integer[] $instructions
     * @return Integer
     */
    function createSortedArray($instructions) {
        
    }
}","function createSortedArray(instructions: number[]): number {

};",,,,,,,,create-sorted-array-through-instructions
